Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/01  01:00:00,0,0.8749643679,0,1.247
 01/01  02:00:00,0,0.7593752011,0,1.214
 01/01  03:00:00,0,0.7200984982,0,1.227
 01/01  04:00:00,0,0.7194742096,0,1.232
 01/01  05:00:00,0,0.7303748982,0,1.245
 01/01  06:00:00,0,0.7936924832,0,1.272
 01/01  07:00:00,0,1.0386447091,0,1.286
 01/01  08:00:00,30,1.3505480108,0.075,1.265
 01/01  09:00:00,212,1.3175291976,0.53,1.239
 01/01  10:00:00,386,1.1524606482,0.965,1.254
 01/01  11:00:00,509,1.1855047376,1.2725,1.239
 01/01  12:00:00,572,1.1691892793,1.43,1.245
 01/01  13:00:00,571,1.1308804963,1.4275,1.222
 01/01  14:00:00,506,1.0995277441,1.265,1.192
 01/01  15:00:00,381,1.0917598016,0.9525,1.166
 01/01  16:00:00,205,1.1527284406,0.5125,1.152
 01/01  17:00:00,26,1.40658102,0.065,1.167
 01/01  18:00:00,0,1.9057135693,0,1.123
 01/01  19:00:00,0,2.2112882497,0,1.118
 01/01  20:00:00,0,2.161428059,0,1.08
 01/01  21:00:00,0,2.0033118932,0,1.001
 01/01  22:00:00,0,1.8243456376,0,0.885
 01/01  23:00:00,0,1.4921410174,0,0.745
 01/01  24:00:00,0,1.1629535741,0,0.62
 01/02  01:00:00,0,0.8372573375,0,0.512
 01/02  02:00:00,0,0.7218449997,0,0.469
 01/02  03:00:00,0,0.6843822873,0,0.47
 01/02  04:00:00,0,0.678568738,0,0.464
 01/02  05:00:00,0,0.6860653068,0,0.411
 01/02  06:00:00,0,0.7442732574,0,0.391
 01/02  07:00:00,0,0.9821429256,0,0.383
 01/02  08:00:00,30,1.2898166147,0.075,0.356
 01/02  09:00:00,213,1.2457116822,0.5325,0.34
 01/02  10:00:00,387,1.0663738954,0.9675,0.336
 01/02  11:00:00,510,1.0572848662,1.275,0.415
 01/02  12:00:00,574,1.1146369799,1.435,0.411
 01/02  13:00:00,573,1.069350675,1.4325,0.448
 01/02  14:00:00,509,1.0415908249,1.2725,0.386
 01/02  15:00:00,384,1.0439459548,0.96,0.383
 01/02  16:00:00,209,1.117759532,0.5225,0.352
 01/02  17:00:00,28,1.3827560522,0.07,0.343
 01/02  18:00:00,0,1.8992428305,0,0.33
 01/02  19:00:00,0,2.2102200487,0,0.327
 01/02  20:00:00,0,2.1668781793,0,0.305
 01/02  21:00:00,0,2.0216275431,0,0.296
 01/02  22:00:00,0,1.8593831682,0,0.309
 01/02  23:00:00,0,1.5467787232,0,0.305
 01/02  24:00:00,0,1.237793509,0,0.286
 01/03  01:00:00,0,0.9347827863,0,0.322
 01/03  02:00:00,0,0.8218260534,0,0.3
 01/03  03:00:00,0,0.7764328415,0,0.278
 01/03  04:00:00,0,0.7699050965,0,0.275
 01/03  05:00:00,0,0.7729672828,0,0.263
 01/03  06:00:00,0,0.8285453417,0,0.247
 01/03  07:00:00,0,1.0699762204,0,0.197
 01/03  08:00:00,30,1.385520658,0.075,0.154
 01/03  09:00:00,213,1.3202439184,0.5325,0.119
 01/03  10:00:00,388,1.1316588557,0.97,0.102
 01/03  11:00:00,512,1.1402445141,1.28,0.088
 01/03  12:00:00,576,1.1138606216,1.44,0.104
 01/03  13:00:00,576,1.072004711,1.44,0.153
 01/03  14:00:00,511,1.0409253458,1.2775,0.144
 01/03  15:00:00,387,1.0377000831,0.9675,0.122
 01/03  16:00:00,212,1.1245272387,0.53,0.133
 01/03  17:00:00,29,1.3968795199,0.0725,0.165
 01/03  18:00:00,0,1.9310805861,0,0.187
 01/03  19:00:00,0,2.240117986,0,0.206
 01/03  20:00:00,0,2.209753854,0,0.262
 01/03  21:00:00,0,2.0623882085,0,0.299
 01/03  22:00:00,0,1.8999110257,0,0.323
 01/03  23:00:00,0,1.5911518943,0,0.34
 01/03  24:00:00,0,1.2883223249,0,0.396
 01/04  01:00:00,0,0.9949524699,0,0.448
 01/04  02:00:00,0,0.8755564164,0,0.446
 01/04  03:00:00,0,0.8326251812,0,0.501
 01/04  04:00:00,0,0.8247404042,0,0.602
 01/04  05:00:00,0,0.8275742933,0,0.611
 01/04  06:00:00,0,0.8825797958,0,0.676
 01/04  07:00:00,0,1.0998667935,0,0.783
 01/04  08:00:00,30,1.4321138623,0.075,0.766
 01/04  09:00:00,213,1.3465184565,0.5325,0.686
